e_commerce,produto,preco_bruto,preco_numerico,preco_bruto_vista,preco_original,nota_media,num_comentarios
Kabum,"iPhone 16 Apple 128GB, Câmera Dupla de 48MP, Tela 6.1"", Branco","R$ 5.999,90",5999.9,,,,
Kabum,"Smartphone Motorola Moto G56 5g 256gb - Cinza, 24gb (8GB Ram+16gb Ram Boost), Câmera 50mp E Tela 6,7""","R$ 1.199,90",1199.9,,,,
Kabum,Smartphone Galaxy A07 128GB 4g Samsung,"R$ 599,00",599.0,,,,
Kabum,"Smartphone Samsung Galaxy A06 128GB, 4GB RAM, Câmera 50MP + Selfie 8MP, Preto","R$ 773,10",773.1,,,,
Kabum,"iPhone 17 Pro Apple 512GB, Câmera Tripla Fusion de 48MP, Tela 6.3"" Super Retina XDR, Azul-intenso","R$ 11.699,10",11699.1,,,,
Kabum,"Smartphone Samsung Galaxy A16 4g 128GB 4GB Ram Dual Sim Tela 6.7"" Verde","R$ 854,10",854.1,,,,
Kabum,Pocophone X7 Dual Sim 512 Gb Cinza 12 Gb,"R$ 1.749,00",1749.0,,,,
Kabum,"iPhone 16 Plus Apple 128GB, Câmera Dupla de 48MP, Tela 6,7"", Ultramarino","R$ 6.699,90",6699.9,,,,
Magalu,"Smartphone Samsung Galaxy A16 128GB Preto 4GB RAM 6,7"" FHD+ Câm Tripla de até 50MP + Selfie 13MP Bateria 5000mAh",,854.1,"854,10","R$ 1.399,00",4.8,5143.0
Magalu,"Smartphone Motorola Moto G15 256GB Grafite 4G 4GB RAM 6,7"" Câm. Dupla Selfie 8MP",,799.0,"799,00","R$ 1.299,00",4.8,2988.0
Magalu,Smartphone Motorola Edge 60 Fusion 5G 256GB 16GB (8GB RAM+8GB Ram Boost) 50MP Sony AI Camera IP68 NFC,,1688.13,"1.688,13","R$ 2.110,00",4.9,692.0
Magalu,Smartphone Xiaomi POCO M7 PRO 5G / NFC / 256GB 16GB RAMBOOST / LANÇAMENTO 2025 / Câmera Ѕопу 50MP OIS / FHD Plus Amoled 120Hz Celular Premium Design,,1671.12,"1.671,12","R$ 6.999,99",4.6,69.0
Magalu,"Smartphone Samsung Galaxy A16 128GB Verde Claro 5G 4GB RAM 6,7"" FHD+ Câm Tripla até 50MP + Selfie 13MP Bateria 5000mAh",,999.0,"999,00","R$ 1.599,00",4.8,2145.0
